State,Year,Abortion Rate (Guttmacher)
CA,1930,nan
CA,1931,nan
CA,1932,nan
CA,1933,nan
CA,1934,nan
CA,1935,nan
CA,1936,nan
CA,1937,nan
CA,1938,nan
CA,1939,nan
CA,1940,nan
CA,1941,nan
CA,1942,nan
CA,1943,nan
CA,1944,nan
CA,1945,nan
CA,1946,nan
CA,1947,nan
CA,1948,nan
CA,1949,nan
CA,1950,nan
CA,1951,nan
CA,1952,nan
CA,1953,nan
CA,1954,nan
CA,1955,nan
CA,1956,nan
CA,1957,nan
CA,1958,nan
CA,1959,nan
CA,1960,nan
CA,1961,nan
CA,1962,nan
CA,1963,nan
CA,1964,nan
CA,1965,nan
CA,1966,nan
CA,1967,nan
CA,1968,nan
CA,1969,nan
CA,1970,15.15
CA,1971,26.48
CA,1972,30.74
CA,1973,31.10
CA,1974,33.41
CA,1975,33.81
CA,1976,38.12
CA,1977,40.05
CA,1978,43.42
CA,1979,44.66
CA,1980,43.67
CA,1981,44.66
CA,1982,44.06
CA,1983,45.63
CA,1984,47.22
CA,1985,47.02
CA,1986,47.37
CA,1987,47.85
CA,1988,44.99
CA,1989,44.49
CA,1990,44.26
CA,1991,44.36
CA,1992,41.91
CA,1993,39.04
CA,1994,36.26
CA,1995,33.42
CA,1996,33.05
CA,1997,32.46
CA,1998,31.87
CA,1999,31.36
CA,2000,31.13
CA,2001,31.67
CA,2002,30.98
CA,2003,28.85
CA,2004,26.77
CA,2005,26.77
CA,2006,28.52
CA,2007,28.60
CA,2008,27.36
CA,2009,26.16
CA,2010,24.28
CA,2011,22.99
CA,2012,21.62
CA,2013,20.59
CA,2014,19.66
CA,2015,18.50
CA,2016,17.51
CA,2017,16.50
CA,2018,17.61
CA,2019,18.76
CA,2020,19.27
CA,2021,19.95
