State,Year,Abortion rate (Guttmacher)
MI,1960,nan
MI,1961,nan
MI,1962,nan
MI,1963,nan
MI,1964,nan
MI,1965,nan
MI,1966,nan
MI,1967,nan
MI,1968,nan
MI,1969,nan
MI,1970,nan
MI,1971,nan
MI,1972,nan
MI,1973,18.98
MI,1974,18.70
MI,1975,20.98
MI,1976,24.13
MI,1977,25.42
MI,1978,26.42
MI,1979,28.99
MI,1980,29.77
MI,1981,29.85
MI,1982,29.57
MI,1983,30.15
MI,1984,30.44
MI,1985,29.45
MI,1986,28.34
MI,1987,27.39
MI,1988,28.54
MI,1989,27.48
MI,1990,26.28
MI,1991,24.99
MI,1992,24.96
MI,1993,24.08
MI,1994,23.15
MI,1995,22.17
MI,1996,21.84
MI,1997,21.79
MI,1998,21.78
MI,1999,21.81
MI,2000,21.56
MI,2001,21.33
MI,2002,21.15
MI,2003,20.96
MI,2004,20.78
MI,2005,19.67
MI,2006,19.22
MI,2007,17.88
MI,2008,18.64
MI,2009,15.76
MI,2010,16.08
MI,2011,15.32
MI,2012,15.16
MI,2013,15.18
MI,2014,15.38
MI,2015,15.04
MI,2016,14.51
MI,2017,14.17
MI,2018,14.85
MI,2019,15.53
MI,2020,16.82
MI,2021,17.10
